29.271	30.271	Ding
74.559	75.559	Ding
119.847	120.847	Ding
165.135	166.135	Ding
210.423	211.423	Ding
255.711	256.711	Ding
300.999	301.999	Ding
346.287	347.287	Ding
391.575	392.575	Ding
436.863	437.863	Ding
482.151	483.151	Ding
527.439	528.439	Ding
572.727	573.727	Ding
658.934	659.934	Ding
704.222	705.222	Ding
749.51	750.51	Ding
794.798	795.798	Ding
840.086	841.086	Ding
885.374	886.374	Ding
930.662	931.662	Ding
975.95	976.95	Ding
1021.238	1022.238	Ding
1066.526	1067.526	Ding
1111.814	1112.814	Ding
1157.102	1158.102	Ding
1202.39	1203.39	Ding
1247.678	1248.678	Ding
1292.966	1293.966	Ding
1338.254	1339.254	Ding
1383.542	1384.542	Ding
1428.83	1429.83	Ding
1474.118	1475.118	Ding
1519.406	1520.406	Ding
1564.694	1565.694	Ding
1609.982	1610.982	Ding
1655.27	1656.27	Ding
1700.558	1701.558	Ding
1745.846	1746.846	Ding
1791.134	1792.134	Ding
1836.422	1837.422	Ding
1881.71	1882.71	Ding
1926.998	1927.998	Ding
1972.286	1973.286	Ding
2017.574	2018.574	Ding
2062.862	2063.862	Ding
2108.15	2109.15	Ding
2153.438	2154.438	Ding
2198.726	2199.726	Ding
2244.014	2245.014	Ding
2289.302	2290.302	Ding
2334.59	2335.59	Ding
