25.29	26.29	Ding
70.578	71.578	Ding
115.866	116.866	Ding
161.154	162.154	Ding
206.442	207.442	Ding
251.73	252.73	Ding
297.018	298.018	Ding
342.306	343.306	Ding
387.594	388.594	Ding
432.882	433.882	Ding
478.17	479.17	Ding
523.458	524.458	Ding
568.746	569.746	Ding
614.034	615.034	Ding
659.322	660.322	Ding
704.61	705.61	Ding
749.898	750.898	Ding
795.186	796.186	Ding
840.474	841.474	Ding
885.762	886.762	Ding
931.05	932.05	Ding
976.338	977.338	Ding
1021.626	1022.626	Ding
1066.914	1067.914	Ding
1112.202	1113.202	Ding
1157.49	1158.49	Ding
1202.778	1203.778	Ding
1248.066	1249.066	Ding
1293.354	1294.354	Ding
1338.642	1339.642	Ding
1383.93	1384.93	Ding
1429.218	1430.218	Ding
1474.506	1475.506	Ding
1519.794	1520.794	Ding
1565.082	1566.082	Ding
1610.37	1611.37	Ding
1655.658	1656.658	Ding
1700.946	1701.946	Ding
1746.234	1747.234	Ding
1791.522	1792.522	Ding
1836.81	1837.81	Ding
1882.098	1883.098	Ding
1927.386	1928.386	Ding
1972.674	1973.674	Ding
2017.962	2018.962	Ding
2063.25	2064.25	Ding
